id,category_id,title,is_hot,hot_rank
perfect-match,match,Who is your perfect match in life?,true,1
real-soulmate,match,Who is your real soulmate?,true,2
ideal-boyfriend,match,Who would be your ideal boyfriend?,true,3
perfect-girlfriend,match,Who would be your perfect girlfriend?,true,4
true-love-match,match,Which character is your true love match?,true,5
destiny-partner,match,Who is your destiny partner?,true,6
movie-character,which,Which movie character are you?,true,7
mythical-creature,which,Which mythical creature are you?,false,
kind-of-friend,which,Which kind of friend are you?,false,
aesthetic-style,which,Which aesthetic style are you?,false,
energy-archetype,which,Which energy archetype are you?,false,
song-describes,which,Which song describes you?,false,
color-personality,which,Which color personality are you?,false,
real-love-type,type,What's your real love type?,false,
true-aesthetic-type,type,What's your true aesthetic type?,false,
inner-energy-type,type,What's your inner energy type?,false,
friendship-type,type,What's your friendship type?,false,
dating-type,type,What's your dating type?,false,
vibe-type,type,What's your vibe type?,false,
loyal-really,how,How loyal are you really?,false,
romantic-deep,how,How romantic are you deep down?,false,
brave-in-love,how,How brave are you in love?,false,
toxic-personality,how,How toxic is your personality?,false,
kind-heart,how,How kind is your heart?,false,
confident-actually,how,How confident are you actually?,false,
sensitive,how,How sensitive are you?,false,
hidden-superpower,hidden,What's your hidden superpower?,false,
secret-trauma,hidden,What's your secret inner trauma?,false,
hidden-talent,hidden,What's your hidden natural talent?,false,
dark-side,hidden,What's your dark side personality?,false,
secret-desire,hidden,What's your secret desire?,false,
hidden-fear,hidden,What's your hidden fear?,false,
secret-strength,hidden,What's your secret strength?,false,
love-crisis,whatwould,What would you do in a love crisis?,false,
win-lottery,whatwould,What would you do if you won the lottery?,false,
dangerous-situation,whatwould,What would you do in a dangerous situation?,false,
for-dream,whatwould,What would you do for your dream?,false,
meet-idol,whatwould,What would you do if you met your idol?,false,
breakup,whatwould,What would you do in a breakup?,false,
pick-personality,pick,Pick one we'll guess your personality.,false,
choose-type,pick,Choose one we'll reveal your real type.,false,
pick-soulmate,pick,Pick your favorite find your soulmate.,false,
choose-dark-side,pick,Choose one discover your dark side.,false,
pick-picture,pick,Pick a picture know your future.,false,
choose-true-self,pick,Choose an option see your true self.,false,
future-love,future,What's your future love life like?,false,
who-marry,future,Who will you end up marrying?,false,
real-destiny,future,What's your real destiny?,false,
future-hold,future,What does your future hold for you?,false,
meet-soulmate,future,When will you meet your soulmate?,false,
